Var2	F.score	L1	RawMedian
1	Combat	67	1	124
2	Combat	12	1	124
3	Combat	46	1	124
4	Combat	50	1	124
5	Combat	28	1	124
6	Combat	54	1	124
7	limma_bec	75	1	124
8	limma_bec	20	1	124
9	limma_bec	56	1	124
10	limma_bec	48	1	124
11	limma_bec	29	1	124
12	limma_bec	52	1	124
13	MNN	77	1	124
14	MNN	22	1	124
15	MNN	39	1	124
16	MNN	43	1	124
17	MNN	30	1	124
18	MNN	48	1	124
19	mnn_limma_trend_false	60	1	124
20	mnn_limma_trend_false	52	1	124
21	mnn_limma_trend_false	81	1	124
22	mnn_limma_trend_false	59	1	124
23	mnn_limma_trend_false	68	1	124
24	mnn_limma_trend_false	64	1	124
25	scmerge	88	1	124
26	scmerge	21	1	124
27	scmerge	45	1	124
28	scmerge	39	1	124
29	scmerge	55	1	124
30	scmerge	35	1	124
31	scmerge_limma_trend_false	69	1	124
32	scmerge_limma_trend_false	44	1	124
33	scmerge_limma_trend_false	75	1	124
34	scmerge_limma_trend_false	58	1	124
35	scmerge_limma_trend_false	74	1	124
36	scmerge_limma_trend_false	69	1	124
37	seurat3	81	1	124
38	seurat3	40	1	124
39	seurat3	38	1	124
40	seurat3	28	1	124
41	seurat3	52	1	124
42	seurat3	30	1	124
43	zinbwave	12	1	124
44	zinbwave	5	1	124
45	zinbwave	8	1	124
46	zinbwave	9	1	124
47	zinbwave	101	1	124
48	zinbwave	18	1	124
49	zinbwave_deseq2	11	1	124
50	zinbwave_deseq2	3	1	124
51	zinbwave_deseq2	7	1	124
52	zinbwave_deseq2	0	1	124
53	zinbwave_deseq2	1	1	124
54	zinbwave_deseq2	0	1	124
55	zinbwave_edger	70	1	124
56	zinbwave_edger	55	1	124
57	zinbwave_edger	47	1	124
58	zinbwave_edger	30	1	124
59	zinbwave_edger	42	1	124
60	zinbwave_edger	40	1	124
61	zinbwave_deseq2_cov	14	1	124
62	zinbwave_deseq2_cov	15	1	124
63	zinbwave_deseq2_cov	16	1	124
64	zinbwave_deseq2_cov	6	1	124
65	zinbwave_deseq2_cov	12	1	124
66	zinbwave_deseq2_cov	6	1	124
67	zinbwave_edger_cov	75	1	124
68	zinbwave_edger_cov	58	1	124
69	zinbwave_edger_cov	57	1	124
70	zinbwave_edger_cov	28	1	124
71	zinbwave_edger_cov	55	1	124
72	zinbwave_edger_cov	59	1	124
73	raw_data	57	1	124
74	raw_data	50	1	124
75	raw_data	80	1	124
76	raw_data	56	1	124
77	raw_data	53	1	124
78	raw_data	62	1	124
79	pseudo_bulk_deseq2	0	1	124
80	pseudo_bulk_deseq2	0	1	124
81	pseudo_bulk_deseq2	0	1	124
82	pseudo_bulk_deseq2	0	1	124
83	pseudo_bulk_deseq2	1	1	124
84	pseudo_bulk_deseq2	0	1	124
85	pseudo_bulk_edger	0	1	124
86	pseudo_bulk_edger	0	1	124
87	pseudo_bulk_edger	0	1	124
88	pseudo_bulk_edger	0	1	124
89	pseudo_bulk_edger	0	1	124
90	pseudo_bulk_edger	0	1	124
91	pseudo_bulk_limma	0	1	124
92	pseudo_bulk_limma	0	1	124
93	pseudo_bulk_limma	0	1	124
94	pseudo_bulk_limma	0	1	124
95	pseudo_bulk_limma	0	1	124
96	pseudo_bulk_limma	0	1	124
97	pseudo_bulk_limmatrend	0	1	124
98	pseudo_bulk_limmatrend	0	1	124
99	pseudo_bulk_limmatrend	0	1	124
100	pseudo_bulk_limmatrend	0	1	124
101	pseudo_bulk_limmatrend	0	1	124
102	pseudo_bulk_limmatrend	0	1	124
103	mast	63	1	124
104	mast	50	1	124
105	mast	62	1	124
106	mast	43	1	124
107	mast	51	1	124
108	mast	43	1	124
109	mast_cov	51	1	124
110	mast_cov	53	1	124
111	mast_cov	74	1	124
112	mast_cov	40	1	124
113	mast_cov	49	1	124
114	mast_cov	44	1	124
115	deseq2	11	1	124
116	deseq2	3	1	124
117	deseq2	7	1	124
118	deseq2	0	1	124
119	deseq2	1	1	124
120	deseq2	0	1	124
121	deseq2_cov	14	1	124
122	deseq2_cov	15	1	124
123	deseq2_cov	16	1	124
124	deseq2_cov	6	1	124
125	deseq2_cov	12	1	124
126	deseq2_cov	6	1	124
127	edger	156	1	124
128	edger	128	1	124
129	edger	156	1	124
130	edger	116	1	124
131	edger	108	1	124
132	edger	116	1	124
133	edger_cov	180	1	124
