"stat" "pval" "FDR" "sign" "logHR" "GSE29013_P" "GSE29013_HR" "GSE30219_P" "GSE30219_HR" "GSE31210_P" "GSE31210_HR" "GSE50081_P" "GSE50081_HR" "GSE37745_P" "GSE37745_HR"
"A1BG" 0.712040376252246 0.712040376252246 1 "+" 0.0326922900416166 0.714885048606418 0.27864861583362 0.150825543285665 0.215106836849986 0.299708616331777 0.116677345183866 0.386960098319119 -0.187289960115406 0.610683321892481 -0.0986926433987426
"A1CF" 0.273017369737681 0.273017369737681 0.639915567148863 "+" 0.478482590006136 0.0268407144964008 7.46428144307709 0.51826063475819 0.0186819600588169 0.528683628872765 -0.0208771234850589 0.117966003655682 0.310177850086961 0.369733074099543 0.1363984878565
"A2M" 1 1 1 "-" -0.123519666683893 0.367357929837935 -0.581698514040888 0.554267687866228 -0.0915910423894517 0.736599016049894 -0.0371456317366387 0.124808664381718 -0.285546278250811 0.953608426461413 -0.00947928813105065
"A2ML1" 0.740865683268993 0.740865683268993 1 "-" -0.0163690495757776 0.473945453069919 -0.470498464631693 0.176937551138901 -0.235431076820917 0.465953953050298 0.0969659020762982 0.356190825909667 0.159705266942664 0.381136426186807 -0.164774544893673
"A4GALT" 0.984808468292939 0.984808468292939 1 "+" 0.12545492529778 0.381922445987802 0.607348570071326 0.473874686063012 -0.162276034886908 0.901784594968831 0.0302416730493897 0.052239997795964 0.446417597609131 0.83136051712446 0.0382498111193526
"A4GNT" 0.235258784082797 0.235258784082797 0.592176498273169 "-" -0.192293367451213 0.00321253813848243 -3.98278853302283 0.552903215464236 -0.149959919809448 0.754884759720592 -0.032418384026235 0.142053471788673 0.279413103331468 0.726298441111527 -0.0594816327893936
"AAAS" 0.00604286210522852 0.00604286210522852 0.101399100101499 "-" -2.43713242569638e-13 0.065320388120527 -1.20590171345433 0.0428417159872113 0.2997402005384 0.00869386893351583 0.30820301363168 0.141448006188922 0.30635335326433 0.737888703747591 0.058923025778221
"AACS" 0.597593821660572 0.597593821660572 0.965247960374426 "+" 0.0543177881003044 0.0403900039476215 1.6625434219773 0.682514752596391 -0.0820044317436178 0.556545978390878 0.0326979168302449 0.217298358371337 -0.253739472506518 0.505337228517609 0.123657247293921
"AADAC" 0.488428688800209 0.488428688800209 0.863684577789312 "+" 0.112454015463512 0.0983632363682357 2.14641189575422 0.081208657988461 -0.311725250613112 0.431397383204777 0.0603842768504873 0.838336536589807 -0.0411750685357047 0.356215186867817 0.172030956994042
"AADACL2" 1 1 1 "+" 0.105459427039219 0.395438447644987 0.496173935753616 0.627058551350336 -0.165971376812057 0.635170900149507 0.206133077192307 0.650480915566233 0.0960924654581732 0.958540923345099 0.00911548602149434
"AADAT" 0.0234758751981673 0.0234758751981673 0.188321926066255 "-" -0.135381788384982 0.566679665370175 -0.336033490952405 0.956479841616294 -0.00584260168039702 0.0582948105144629 0.132992035476363 0.145093382960005 -0.340785631785913 0.00904722307540838 -0.508565523041705
"AAGAB" 0.00104562460252831 0.00104562460252831 0.0436211180699957 "-" -2.43713242569638e-13 0.155952204507213 -1.09936121124143 0.0565606472190813 0.191434919713422 0.00216386559391661 0.267248231660285 0.606205442790609 -0.103399611422943 0.0268332317128383 0.410877174788974
"AAK1" 0.0106071418761627 0.0106071418761627 0.132010925809134 "-" -2.43713242569638e-13 0.598111543528434 -0.361864865020969 0.323537505508588 0.232013939424865 0.143729166377633 -0.156641209525292 0.00582161215788493 0.63920994792699 0.0563572318911483 -0.369889777450032
"AAMDC" 0.0174502271152306 0.0174502271152306 0.166751220153379 "-" -2.43713242569638e-13 0.600863247617584 -0.308013834958678 0.0244201128643604 0.235432764970779 0.861690425907826 -0.0265420756947271 0.313247526217638 -0.229195552354416 0.00118252982280068 0.631138946465976
"AAMP" 0.128503228071438 0.128503228071438 0.436444479975851 "+" 0.0880683516231228 0.412081937438104 0.712310541827501 0.663574965134744 -0.0596076676951125 0.074981775159166 0.1872910009551 0.179544918685038 -0.302931386837845 0.111392350122991 0.286727257014017
"AANAT" 0.0649231377745921 0.0649231377745921 0.306376285357401 "+" 2.43713242569638e-09 0.927329046548806 0.0597861613261532 0.0778740523455353 -0.463638546780518 0.0279712656543528 0.226645064485005 0.737210924485476 -0.071685491054096 0.124460472519413 -0.308066917047244
"AAR2" 1 1 1 "-" -0.137272671981081 0.0827063953089831 -1.39631844723062 0.670599317824011 -0.0850199924223802 0.935009890366618 0.0110258968436806 0.312455817792482 -0.2009077577274 0.749137946258304 -0.0627813999963365
"AARS2" 0.833742487586267 0.833742487586267 1 "+" 0.0931508702732172 0.629218195357789 0.251843673694836 0.0821587945613625 0.309549766953725 0.755180113179046 0.0313354953712294 0.636961308108332 -0.0979070739568552 0.202832948173 0.235414486542808
"AASDH" 0.492914671896571 0.492914671896571 0.868116767008824 "-" -0.210244065277573 0.72790898667871 -0.193287858534347 0.664278111718307 -0.0554109969479928 0.0826406140530476 -0.324635528995507 0.519645904917283 -0.130103117673182 0.300425292543187 -0.191328278068287
"AASDHPPT" 0.406374045061186 0.406374045061186 0.784180013456937 "-" -0.125797070976274 0.0107239300599153 -2.37819652811411 0.623379664152403 0.0684696302601705 0.750218936394072 -0.031173964758502 0.346759852126224 -0.186775633472328 0.246767433877124 0.227210188842778
"AASS" 0.45246604075689 0.45246604075689 0.831268812405511 "+" 0.163353305464028 0.278448098297163 0.785939703367807 0.608669936258764 -0.0967875315006046 0.22913277920335 0.226347552741928 0.130810757775083 0.307206716641585 0.498215372882095 -0.110908052078186
"AATF" 0.110693922338465 0.110693922338465 0.402459692334067 "+" 0.119957120736466 0.752949597389432 0.20625532540667 0.000196627257488647 0.625970799560033 0.748827122059482 0.0264471152302852 0.985176277720861 -0.00401416894998597 0.84094589001089 0.0376694433257753
"AATK" 0.174175902363205 0.174175902363205 0.507779952708743 "-" -2.43713242569638e-13 0.103427942246426 -1.49069282443578 0.205794529805013 -0.193582117175994 0.113668866210509 0.278988246376629 0.226178791442916 0.243458813543846 0.567989545050081 -0.10719292189609
"ABAT" 0.00101898189642621 0.00101898189642621 0.0436211180699957 "-" -0.229610776078516 0.0331915607646161 -1.53125984999999 0.0379551656728122 -0.322885407644154 0.450441248235198 0.0372364382556459 0.00123375369809819 -0.790096718823717 0.10695021090441 0.316163376655856
"ABCA1" 0.0334619524429241 0.0334619524429241 0.223112942401983 "+" 0.420228230636919 0.0833507015434768 1.31102364474549 0.130209905689485 0.394269718334889 0.101502566951018 0.42810347909779 0.0395460763647059 0.45948514243911 0.505049686254949 0.125107260555602
"ABCA12" 1 1 1 "+" 0.0201714407931463 0.419206262950002 0.525923730138966 0.890305429210863 -0.00346079303107937 0.264736773600258 0.015189787260753 0.659175445120156 -0.0907571238879193 0.817925549343142 0.0395106163356067
"ABCA13" 0.529543540516368 0.529543540516368 0.903516841505216 "+" 2.43713242569638e-09 0.55776700831312 0.339969514398711 0.538917676770691 -0.191841742857497 0.467177696647711 -0.13437104659987 0.0472053891535523 -0.486131689794767 0.552547175470218 0.111975759919774
"ABCA2" 1 1 1 "+" 0.0316840163367015 0.905242279774965 0.0728977190314224 0.767875950089549 -0.0281273914489908 0.59713543418995 -0.1034089633411 0.111401904687486 0.322332423494323 0.966487327845763 0.00778047179997835
"ABCA3" 0.938954299669129 0.938954299669129 1 "-" -0.172750757452918 0.761912686768611 -0.216367052468 0.42537281792616 -0.265916892588379 0.446432199840905 -0.20290257442888 0.197778864406412 -0.282558393331495 0.541388692085743 0.110150098491546
"ABCA4" 0.59068979666668 0.59068979666668 0.960042440961541 "-" -0.0586154963247983 0.570695958342712 -0.370438451859774 0.183008255700445 -0.0844837829088498 0.240277128923408 0.00932212139220227 0.809475409289185 0.0534243187510014 0.21229645291765 -0.228704789654752
"ABCA5" 0.975680607592679 0.975680607592679 1 "-" -0.131552582583817 0.0859147903035059 -0.994869826392978 0.598425285186464 -0.142128105062336 0.250761929287998 -0.152498169727458 0.879371723173154 -0.0361961908419252 0.740334891816778 0.0516726784368612
"ABCA6" 0.108884907305074 0.108884907305074 0.399985938877616 "-" -0.366152532834254 0.777023700995438 -0.167731216508478 0.568811891578579 -0.118199002604552 0.0269944805485986 -0.586356696139316 0.0874414489846535 -0.406686445412474 0.563843747223999 -0.103084058824066
"ABCA7" 0.111898445178306 0.111898445178306 0.404735846214722 "+" 2.43713242569638e-09 0.719234166440224 0.239275564578049 0.0765267115898007 0.147592482238002 0.312361857234328 -0.164662436454505 0.936064258515626 -0.0165756735770977 0.0111518786480367 -0.546645166967403
"ABCA8" 0.0239882014596269 0.0239882014596269 0.190404255069907 "+" 2.43713242569638e-09 0.793825435805952 0.145734319827012 0.294218064994234 -0.070481140173676 0.0562252668515783 -0.517671152398306 0.0064450341098003 -0.616814411271023 0.561895687820335 0.0976227177832936
"ABCA9" 1 1 1 "+" 2.43713242569638e-09 0.628864041473748 0.300199301452853 0.629604989108217 -0.190609663406649 0.0971073333033404 -0.791091318103617 0.994175502138707 0.0013493563256219 0.703076916111486 0.0724213144057268
"ABCB1" 0.558999897613069 0.558999897613069 0.92927958185842 "+" 2.43713242569638e-09 0.892165179766286 0.0878057069729608 0.24988575224009 0.462689916326295 0.118508087973024 -2.09283451469937 0.617889696694658 -0.107369716944605 0.435209374366576 0.16996937124663
"ABCB10" 0.0937060496391522 0.0937060496391522 0.369948533174993 "-" -0.207360463138941 0.784772335055358 -0.146444526048432 0.0697611239061994 -0.303339167834591 0.0965969090600604 -0.198097431657125 0.0648324287718204 -0.383022718456629 0.816844318187141 0.0430770189070116
"ABCB11" 1 1 1 "-" -2.43713242569638e-13 0.841830557588672 -0.198221788003857 0.480246969523874 0.139935022818005 0.159871524449405 0.282573954413869 0.985437834100103 -0.00400661288662324 0.958717963394524 -0.00907517145966642
"ABCB4" 1 1 1 "-" -2.43713242569638e-13 0.895355546575706 -0.0901160209755978 0.161045791513047 0.0713587250847559 0.892339208663744 0.00487740253607523 0.799128321017807 0.0529976198596953 0.552234351085725 0.117218337407423
"ABCB5" 1 1 1 "+" 0.111388466292836 0.762186695649889 0.256038076437517 0.785716309443138 0.0613376561445047 0.875444081279261 -0.0138834383729181 0.0278868213283561 0.430922832837603 0.977375428924968 -0.00516420859826774
"ABCB6" 0.0277207450786306 0.0277207450786306 0.204616687097499 "-" -2.43713242569638e-13 0.467746948609659 -0.403890952757082 0.175423945010937 -0.145424920025046 0.0112431061948698 0.253964510778585 0.340454557572707 -0.206185297870322 0.140735466022144 0.275886964231689
"ABCB7" 1 1 1 "-" -0.0242414024691813 0.55064792195657 -0.351030390460556 0.892209269367841 -0.0160546878255873 0.955362610212855 -0.00364834708079339 0.404255413838797 -0.17020458922043 0.289476548895201 0.192655702197504
