Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
EGFR	1956	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Air Pollutants|Arsenic Trioxide|Asbestos|benz(a)anthracene|Cacodylic Acid|Cisplatin|Crizotinib|Docetaxel|Erlotinib Hydrochloride|Gefitinib|Genistein|N-(4-bromo-2-fluorophenyl)-6-methoxy-7-((1-methylpiperidin-4-yl)methoxy)quinazolin-4-amine|NVP-TAE684|Paclitaxel|Particulate Matter|Propranolol|Resveratrol|trichostatin A|Urethane|Vehicle Emissions	38.04	36
MAP2K1	5604	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Air Pollutants|Arsenic Trioxide|Cisplatin|Genistein|Mitomycin|N-nitroso-tris-chloroethylurea|O(2)-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate|Paclitaxel|Phosphates|Resveratrol|trichostatin A|Urethane|Vehicle Emissions	31.12	20
KRAS	3845	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Asbestos|Cisplatin|Crizotinib|Erlotinib Hydrochloride|Gefitinib|Genistein|Paclitaxel|Particulate Matter|Pemetrexed|Resveratrol|Urethane|Vehicle Emissions	29.61	32
TYMS	7298	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Arsenic Trioxide|Cisplatin|Docetaxel|Erlotinib Hydrochloride|Gefitinib|Genistein|Mitomycin|Paclitaxel|Pemetrexed|Resveratrol|trichostatin A|Urethane	29.56	22
MYC	4609	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	3,4',5-trimethoxystilbene|4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Air Pollutants|Arsenic Trioxide|Cacodylic Acid|Cisplatin|Gefitinib|Genistein|N-nitroso-tris-chloroethylurea|Paclitaxel|Particulate Matter|Resveratrol|Theophylline|trichostatin A|Urethane|Vehicle Emissions|Vinblastine	25.68	27
HMGB2	3148	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone|Air Pollutants|Arsenic Trioxide|Cisplatin|Genistein|Particulate Matter|Resveratrol|trichostatin A|Vehicle Emissions|Vinblastine	24.26	16
FOXO3	2309	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	Air Pollutants|Arsenic Trioxide|Cisplatin|Erlotinib Hydrochloride|Gefitinib|Genistein|N-nitroso-tris-chloroethylurea|Particulate Matter|Resveratrol|Urethane|Vehicle Emissions	24.20	20
XRCC6	2547	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	Air Pollutants|Arsenic Trioxide|Cisplatin|Docetaxel|Particulate Matter|Resveratrol|trichostatin A|Vehicle Emissions	22.80	12
SUCLG2	8801	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	Air Pollutants|Arsenic Trioxide|Cisplatin|Epinephrine|Particulate Matter|Resveratrol|Urethane|Vehicle Emissions	22.55	13
ERCC1	2067	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	Air Pollutants|benz(a)anthracene|Cisplatin|Gefitinib|Particulate Matter|Pemetrexed|Resveratrol|trichostatin A|Vehicle Emissions	22.10	15
OGG1	4968	Adenocarcinoma of Lung	MESH:D000077192	marker/mechanism	Air Pollutants|Arsenic Trioxide|Cacodylic Acid|Cisplatin|Mitomycin|O(2)-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate|Paclitaxel|Particulate Matter|Resveratrol|Vehicle Emissions	21.95	14
