"pvalue" "adjpvalue" "logFC" "score"
"A1BG" 0.212226261902517 0.326423632514284 0.263178027135697 0.787773738097483
"A1CF" 0.785588613422056 0.854705107932543 0.107388357769737 0.214411386577944
"A1CF.1" 0.41237777721704 0.540190565201531 -0.310902082082792 0.58762222278296
"A2M" 0.000572485571140845 0.00235696287635102 -0.538122760579655 0.999427514428859
"A2ML1" 0.338106147519997 0.466860204996073 -0.310041238371243 0.661893852480003
"A2ML1.1" 0.0251399104524025 0.0583734692594623 0.805861478744607 0.974860089547598
"A4GALT" 0.814278327024549 0.875676917734141 0.057822556491711 0.185721672975451
"A4GNT" 0.428530676142039 0.555853968125418 -0.20615949727985 0.571469323857961
"AAAS" 0.0208504253872055 0.0500024939664132 0.348136381153708 0.979149574612795
"AACS" 0.000868357779261148 0.00337522693579044 0.468187586600099 0.999131642220739
"AADAC" 0.0017265147170335 0.00609535733325753 -1.8993321463828 0.998273485282966
"AADACL2" 0.00112615016678744 0.00422771663853879 -1.21327957284164 0.998873849833213
"AADAT" 0.691672672326129 0.783486232606513 0.0883206777074641 0.308327327673871
"AAGAB" 0.0265028821790085 0.0609412008596032 0.755625662743489 0.973497117820991
"AAGAB.1" 0.0179528752260712 0.0441213358238567 0.2889437359438 0.982047124773929
"AAK1" 0.398091239608271 0.526657944905179 -0.0991836464377514 0.601908760391729
"AAK1.1" 0.354528316805166 0.48313346372624 -0.0668248409353651 0.645471683194834
"AAMDC" 1.42357888608808e-05 9.66367186558673e-05 -0.491574618658532 0.999985764211139
"AAMDC.1" 0.00345697764212912 0.0109621786662279 -0.320153897493978 0.996543022357871
"AAMP" 0.0129879669912325 0.0336265831049722 0.275642451956203 0.987012033008767
"AANAT" 0.839431869924469 0.892897519936181 -0.0631231216856324 0.160568130075531
"AAR2" 0.506590693437952 0.627311646962807 0.0587286877935933 0.493409306562048
"AARS1" 0.00156675319486999 0.00561201975636503 0.402338346807089 0.99843324680513
"AARS2" 0.795984683631774 0.862675463352314 -0.0356576856762174 0.204015316368226
"AARS2.1" 0.000865191765017618 0.00336436033036884 0.343306065008701 0.999134808234982
"AARSD1" 0.00860708249558628 0.0236567065317564 0.251943609159928 0.991392917504414
"AASDH" 0.00110852095922083 0.0041689994126623 0.308682262339666 0.998891479040779
"AASDH.1" 0.000463504303709888 0.00196558422243862 0.362010483653507 0.99953649569629
"AASDHPPT" 0.00125049696379498 0.00461944900355547 0.233554312130363 0.998749503036205
"AASDHPPT.1" 0.000297745095991604 0.00133845333848774 0.379779586709603 0.999702254904008
"AASS" 0.395132761017155 0.523953653864093 -0.168110624392548 0.604867238982845
"AASS.1" 0.0026507312840065 0.00872954097940998 -0.650266904404645 0.997349268715993
"AATF" 0.003933853901698 0.0122144612585034 0.288088165960325 0.996066146098302
"AATK" 0.55849849980725 0.672641476458091 -0.196978981877185 0.44150150019275
"AATK.1" 0.00202738458896167 0.00696713743186867 -0.383802082635239 0.997972615411038
"ABAT" 0.00884346203445557 0.0242166741433825 0.527088366692495 0.991156537965544
"ABAT.1" 0.138721072128615 0.234369693925523 0.352775680524499 0.861278927871385
"ABCA1" 0.895181662101195 0.931966088570183 0.0459758288578174 0.104818337898805
"ABCA1.1" 0.0593748509068439 0.118632179566456 -0.277863373291495 0.940625149093156
"ABCA12" 5.54768602961197e-08 7.76191903167733e-07 2.65620846590878 0.99999994452314
"ABCA13" 0.0137925303655569 0.0353569803530148 1.01908919743752 0.986207469634443
"ABCA13.1" 0.00573156292776016 0.0168188789401489 1.51832265001994 0.99426843707224
"ABCA2" 0.258602726950356 0.380820041227142 0.258053726633998 0.741397273049644
"ABCA2.1" 0.464249056125129 0.589586134135893 0.0805264851658438 0.535750943874871
"ABCA3" 2.81445233170761e-05 0.000174256924808476 -1.62797327926946 0.999971855476683
"ABCA4" 0.706040387598235 0.794120615879411 -0.123919754895599 0.293959612401765
"ABCA4.1" 1.00750356925652e-07 1.30016618276925e-06 2.92791978935953 0.999999899249643
"ABCA5" 0.484944028384569 0.607377316597006 0.112067784844681 0.515055971615431
"ABCA6" 3.62311332094063e-08 5.36090953106607e-07 -1.26854740046418 0.999999963768867
