"pvalue" "adjpvalue" "logFC"
"TSPAN6" 2.935196175344e-25 2.47733014715455e-24 1.11244572591211
"TNMD" 0.706047224474185 0.742555795744922 0.299301729231436
"DPM1" 0.00130239075304391 0.00208540260655665 0.25936109732812
"SCYL3" 2.40004891337629e-12 8.32839692853832e-12 0.482387142290788
"C1orf112" 1.86310810317117e-64 1.10073518666842e-62 1.72729916412867
"FGR" 1.37460240201396e-49 4.19110815540326e-48 -2.08905034914643
"CFH" 0.33331648715131 0.379611751254305 0.148138486287407
"FUCA2" 0.00983472056216401 0.0142009138717228 0.226987230191501
"GCLC" 1.82453457417083e-20 1.13184300564621e-19 2.04482863668905
"NFYA" 2.16120566375374e-25 1.83947684172475e-24 0.829649746506968
"STPG1" 0.00174915873486392 0.00275778897699122 -0.268620860935677
"NIPAL3" 8.91225581429608e-08 2.13907401828544e-07 -0.486198962990593
"LAS1L" 8.95484403157091e-10 2.53168587879417e-09 0.401687387047072
"ENPP4" 2.28780206992042e-07 5.27669949746125e-07 -0.54504235636993
"SEMA3F" 0.0721358638500439 0.0925053784794239 -0.241497246247061
"CFTR" 1.48156204469979e-06 3.16966629777993e-06 -1.1895379675247
"ANKIB1" 2.15333913091288e-14 8.70197823768404e-14 0.631964989650785
"CYP51A1" 8.27347875041622e-13 2.98196511207739e-12 -0.83701333268691
"KRIT1" 1.04999498459345e-05 2.07312634429033e-05 0.3220504064623
"RAD52" 6.58319528890937e-06 1.32394459868852e-05 0.420427507097738
"BAD" 0.847379361668379 0.869758287154721 -0.018987176056776
"LAP3" 0.00234349122329321 0.00364354828807559 -0.262613971039303
"HS3ST1" 9.77100955698464e-20 5.78973597151378e-19 1.52576863644012
"AOC1" 8.13042702993462e-54 3.01461281760495e-52 4.82506415423789
"WNT16" 0.665576399455398 0.704931500607794 2.68937439410991
"HECW1" 6.41075799341108e-31 7.6253035159091e-30 2.19563935055371
"MAD1L1" 0.00561404134956406 0.00834705687012526 0.255189663002225
"LASP1" 8.83619168287605e-06 1.75840759596678e-05 0.371040604959756
"SNX11" 0.226169822714499 0.266153003834974 -0.0865549237571988
"TMEM176A" 1.1914170621207e-07 2.82012999632298e-07 0.894194741113831
"M6PR" 0.000319834935816342 0.000549256567268077 -0.295371966912746
"KLHL13" 0.173618160532829 0.208649676718128 -0.27324380559359
"CYP26B1" 8.47998420866941e-10 2.40333272362729e-09 -1.0771222235595
"ICA1" 1.33506024780033e-30 1.55362097667904e-29 1.19564434538633
"DBNDD1" 7.09601145098027e-53 2.53772879585057e-51 1.97535325052284
