"pvalue" "adjpvalue" "logFC"
"TSPAN6" 6.32853470831046e-20 5.42076135477108e-19 1.16239200774908
"TNMD" 0.0947817807337833 0.117789585581532 0.854594597323718
"DPM1" 0.000416524340593058 0.000706130028318838 0.297704557305864
"SCYL3" 3.02955248173216e-12 1.22557441629942e-11 0.527234167042118
"C1orf112" 1.39509636199299e-41 6.11454054961549e-40 1.78505014293775
"FGR" 1.83589754103295e-51 1.45152899212355e-49 -2.06426140323913
"CFH" 0.251685928939399 0.290853503465184 0.193059440837357
"FUCA2" 0.00387149460697401 0.00583364504072159 0.265984191853584
"GCLC" 1.9834796840351e-12 8.17988847450835e-12 2.12050558664224
"NFYA" 7.99348943878176e-22 8.05793694738194e-21 0.874376599605848
"STPG1" 0.00775456472336484 0.0112688867846789 -0.229457800064709
"NIPAL3" 6.46858995978357e-07 1.49088150130536e-06 -0.450986876102625
"LAS1L" 1.94109448461558e-10 6.47660590450243e-10 0.442317860327208
"ENPP4" 1.14714512967841e-06 2.58412064198088e-06 -0.512541932310025
"SEMA3F" 0.131517694504161 0.159852968700649 -0.211239928356667
"CFTR" 3.53463577408058e-06 7.51914275918566e-06 -1.20683519712797
"ANKIB1" 1.90543580343931e-13 8.7259438028599e-13 0.675962387713847
"CYP51A1" 2.27051245994262e-12 9.30887022532145e-12 -0.813857339302094
"KRIT1" 2.54939687963415e-06 5.5109501160253e-06 0.363793516447385
"RAD52" 3.93067828071855e-06 8.31012059112722e-06 0.467939605575944
"BAD" 0.865736303536751 0.884734886996697 0.0174305422347875
"LAP3" 0.00800007101165121 0.0116057874929774 -0.230353123534299
"HS3ST1" 6.01389086172688e-14 2.91197975709375e-13 1.59369446211391
"AOC1" 2.89765966521882e-19 2.34856043921178e-18 4.92562694297326
"WNT16" 2.26441217734354e-08 6.11463318405724e-08 3.51762760382093
"HECW1" 3.52015147331939e-19 2.82826014524644e-18 2.33640187617975
"MAD1L1" 0.0021669285536888 0.00337619693223016 0.295414540261842
"LASP1" 3.29930226150586e-06 7.03336587045044e-06 0.413124459474049
"SNX11" 0.480144570468491 0.523578647629389 -0.051004047198903
"TMEM176A" 2.05260656647804e-06 4.48233026140323e-06 0.95637829779867
"M6PR" 0.00127250975164314 0.00204242310520969 -0.262013747182364
"KLHL13" 0.279409883034137 0.320282099939245 -0.249837998896024
"CYP26B1" 1.97066260476131e-09 5.92006279608777e-09 -1.06832733803749
"ICA1" 2.00875800974303e-23 2.31423270993895e-22 1.24280903577694
"DBNDD1" 1.35504068864719e-32 3.13564580590968e-31 2.03279976302156
"ALS2" 0.113300522611963 0.139168694631662 0.101765936762845
"CASP10" 0.865128741597762 0.884318491237106 -0.0160146409796194
"CFLAR" 3.24776408083024e-09 9.52594778318075e-09 -0.55758453578891
"TFPI" 0.0689465647149587 0.0875690323873982 -0.355429994029133
"NDUFAF7" 7.08790513271075e-19 5.52007831412321e-18 0.622244416751971
"RBM5" 0.316350115896778 0.358642793231119 0.0860995301430245
"MTMR7" 2.39293047952319e-05 4.65287229707409e-05 1.4676623718151
"SLC7A2" 0.00585497937376192 0.00864314134352975 0.905069150139134
"ARF5" 0.00011609997646442 0.000209530773234266 0.41045941578748
"SARM1" 0.496321989762164 0.539468789869529 -0.0719912320204863
"POLDIP2" 6.40079333101931e-16 3.76782465824856e-15 0.665276223638742
"PLXND1" 0.021599572976618 0.0295487287989713 -0.272913055264618
"AK2" 4.90258270667485e-14 2.39677276415858e-13 0.697537562628757
"CD38" 0.398805188615981 0.442145235577891 -0.16275283154982
"FKBP4" 5.19351243826401e-16 3.09100229213138e-15 1.17700764831637
"KDM1A" 2.44003809961886e-19 1.99166875044295e-18 0.708062147308937
"RBM6" 0.0369741390335339 0.0488656086915658 0.205993079924222
"CAMKK1" 0.961496952966944 0.968038973433448 0.00570814947723107
"RECQL" 0.420937310800212 0.464606712235449 0.0879711132850534
"HSPB6" 1.5960951060531e-38 5.54815042360571e-37 -2.39398205506667
"ARHGAP33" 4.04836716328563e-12 1.60986474301366e-11 1.3914599918203
"NDUFAB1" 2.01018293892115e-07 4.89540096962995e-07 0.50219817877272
"PDK4" 7.36368593516355e-36 2.12466709209755e-34 -2.36876302658027
"SLC22A16" 0.0494418818542421 0.0642119423807932 -0.503186066545361
"ZMYND10" 8.21869927421711e-14 3.91955649301738e-13 -1.87020120584531
"ABCB5" 0.0178368414308321 0.0246838623284334 -0.714761055665987
"ARX" 6.07497588229026e-05 0.00011290998617822 1.72775443846285
"SLC25A13" 1.66447879134471e-25 2.25789557826736e-24 1.13066287803182
"ST7" 1.69555330935142e-11 6.31437989529647e-11 -0.560115430960779
"CDC27" 0.000421459239634663 0.000713895828194442 0.24006088803717
"SLC4A1" 1.14854154771961e-52 9.59835576330034e-51 -3.33781410360138
"CALCR" 1.42798409055406e-05 2.83889503223795e-05 1.66011025042715
"HCCS" 0.000291266982052604 0.000502712161961097 0.278600353373537
"DVL2" 0.000172018843599756 0.000304269787173111 0.295459866605463
"PRSS22" 2.84326288139063e-16 1.73576786578158e-15 1.74047814902892
"UPF1" 0.00633987421397801 0.00932480678435632 0.223628438272942
"SKAP2" 0.119267404949775 0.145997569401557 -0.161167411051533
"SLC25A5" 0.00334216619783909 0.00508018081283071 0.312482258523356
"HOXA11" 4.70750077842817e-10 1.50500059574367e-09 4.03554322679219
"POLR2J" 1.73343311207793e-11 6.44800338208139e-11 0.807182754562871
"DHX33" 1.11663383824897e-11 4.22873612987031e-11 0.545268890435004
"MEOX1" 1.27038710251739e-10 4.3237125082302e-10 -1.30840994423585
"THSD7A" 0.0250156157309654 0.0338771508081227 -0.446528159692374
"LIG3" 9.39088970044578e-24 1.11045205262823e-22 0.883165464851465
"RPAP3" 1.23242572968489e-19 1.02780737301384e-18 0.641002143117276
"ACSM3" 0.754659283279499 0.784524626491462 0.056350277090054
"CIAPIN1" 2.87794627974669e-06 6.17758790870833e-06 0.356355096123817
"SPPL2B" 4.70754295303163e-09 1.35949794609574e-08 0.702261489306595
