"pvalue" "adjpvalue" "logFC"
"SERTM1" 7.61268865056163e-93 1.22785055244909e-88 -6.14927341954695
"SLC6A4" 1.81151794097066e-89 1.46089864349579e-85 -7.30698141955683
"RTKN2" 3.95402878832779e-88 2.12581767756463e-84 -4.40814748816439
"OTUD1" 8.66415989010654e-88 3.49360587168821e-84 -2.03438827583913
"PECAM1" 7.25129663802451e-85 2.33912326949395e-81 -2.36063570558523
"MYOC" 2.19562986007733e-84 5.90221900219787e-81 -4.37528642677132
"SGCG" 4.58530244427203e-84 1.05651918748091e-80 -4.0479555825417
"SH3GL3" 5.77230803072755e-84 1.16376945284506e-80 -4.82796206484047
"ANGPT4" 5.65973865234088e-83 1.01428805248451e-79 -4.19596846814586
"HTR3C" 6.52006850109886e-83 1.05162184854224e-79 -3.85686494305564
"ACVRL1" 2.34412187117678e-82 3.43712196911002e-79 -2.59907330236359
"CHRNA2" 5.16048002033779e-82 6.93611518733568e-79 -3.10275485705366
"TEK" 1.02399040893244e-81 1.27045702351318e-78 -3.41868281133897
"RS1" 3.79243468250076e-81 4.36915564243249e-78 -4.22832271193668
"CD300LG" 5.79144963675319e-81 6.22735274607949e-78 -5.57065564520644
"RGCC" 7.32795498630523e-81 7.38703662338231e-78 -2.94006465240749
"PYCR1" 1.24129169668273e-80 1.1776937515174e-77 3.51533186634024
"CD5L" 1.6484751495518e-80 1.47712531595117e-77 -3.81706051025157
"EPAS1" 1.96859196150838e-80 1.67112735511414e-77 -2.65878625616576
"S1PR1" 2.53205343282641e-80 2.04197449090286e-77 -2.90519784535457
"FREM3" 4.31687882329173e-80 3.3155685019463e-77 -3.95297442535866
"STX11" 7.33484192303824e-80 5.37743933530381e-77 -3.16991641828556
"KCNA4" 1.11311224531029e-78 7.80582061069987e-76 -4.1419014885467
"FAM107A" 1.25463733771793e-77 8.09801996058108e-75 -4.8845415719314
"CHRM1" 1.27376193818242e-77 8.09801996058108e-75 -4.45037874564694
"FABP4" 1.30540342845253e-77 8.09801996058108e-75 -5.96482828586239
"C10orf67" 5.85285773087239e-77 3.49632379041633e-74 -4.36775733420597
"RAMP2" 1.7411172971647e-76 1.00294574592748e-73 -2.95743423354998
"EDNRB" 1.3437164318853e-75 7.47338011375105e-73 -3.76690741660453
"AGER" 2.80999622354358e-75 1.51074763631782e-72 -6.50293060713093
"LIMS2" 5.25397009839234e-75 2.73358979732161e-72 -2.91489295560922
"LDB2" 5.69806410161514e-75 2.8720023717172e-72 -2.67484423119004
"ROBO4" 1.01660331741789e-74 4.94609614273773e-72 -2.91013074144811
"ITLN2" 1.04263915216742e-74 4.94609614273773e-72 -6.49601914281389
"EMP2" 3.18616200742568e-74 1.46827448622197e-71 -2.86051690643887
"HSPA12B" 8.97354390420646e-74 3.97667324987444e-71 -2.81220610996861
"CYP1A2" 9.12250668022533e-74 3.97667324987444e-71 -3.52885314541361
"OTC" 9.73185391418434e-74 4.13065978373366e-71 -2.97244337138929
"JAM2" 3.33123018977391e-73 1.37767722386829e-70 -2.62077764663209
"GPM6A" 4.96398525017897e-73 2.00160295250341e-70 -5.65508324800062
"FHL1" 8.38654901820374e-73 3.29918656377093e-70 -3.88382721537331
"GYPE" 1.33574604518662e-72 5.12958284828928e-70 -3.40065765906059
"CAV1" 1.68888084696328e-72 6.33487422806296e-70 -4.01656337204848
"CDH5" 3.70751848261529e-72 1.35905830922959e-69 -2.61253387501518
"WNT3A" 1.61383928777518e-71 5.78435863833908e-69 -4.8734906310103
"SPOCK2" 1.92562103411144e-71 6.75181340417031e-69 -3.45225995064684
"HBA1" 3.6167549151085e-71 1.24116255374011e-68 -3.64807344060936
"MYZAP" 3.76288717845979e-71 1.26440848544537e-68 -3.53420308361964
"KANK3" 5.65827703642276e-71 1.86249694531557e-68 -2.97814217883902
"CCM2L" 7.64365329215357e-71 2.4656896789829e-68 -2.61658139584794
"RAMP3" 9.02563943317637e-71 2.85440271407258e-68 -3.19931735613524
"ECSCR" 9.5402950008327e-71 2.95914265516213e-68 -2.43024733285315
"PTPN21" 1.74953260735233e-70 5.3241908347143e-68 -2.46368048502413
"TAL1" 4.36391457579251e-70 1.30343663320291e-67 -2.89568083459948
"WWC2" 1.00785367449501e-69 2.95557671198727e-67 -2.38323325508642
"FAM83A" 1.07276492999372e-68 3.08975456354799e-66 6.10342262990945
"CLEC3B" 1.8277536044599e-68 5.17190138356732e-66 -4.29787974060485
"SEMA3G" 2.22042139737218e-68 6.17468564107171e-66 -3.04213993461465
"FGD5" 5.14427985223412e-68 1.40630660570651e-65 -2.35943666040493
"PTPRQ" 6.82283123747686e-68 1.83409075048774e-65 -4.59974086184038
"ANGPTL7" 8.02994819559057e-68 2.12319728601115e-65 -3.94389109514962
"CLEC1A" 1.02520713763969e-67 2.66702676177267e-65 -2.37522272633022
"SH2D3C" 1.182738797445e-67 3.02799905777626e-65 -2.33119139864785
"ADCY8" 1.26930229149909e-67 3.19884010306075e-65 -4.52576541047737
"PRX" 1.49463194090379e-67 3.7087567038211e-65 -3.42322877756925
"GRK5" 3.47759807761354e-67 8.498512029368e-65 -2.6185925339928
"GIMAP8" 7.97785564668765e-67 1.92051990634963e-64 -2.58985759306219
