"pvalue" "adjpvalue" "logFC" "score"
"TSPAN6" 4.86420162035681e-17 3.28950557378343e-16 1.03088553102418 1
"TNMD" 0.0346220124845258 0.0485961569369869 -0.637808978862449 0.965377987515474
"DPM1" 0.00305717756087271 0.00504390516359614 0.23673405887708 0.996942822439127
"SCYL3" 2.01667971910868e-09 6.73158675279468e-09 0.470506333960808 0.99999999798332
"C1orf112" 1.258016611441e-27 1.89808699026491e-26 1.62628203690269 1
"FGR" 2.55994467931488e-54 1.29029211664593e-52 -2.21985513725076 1
"CFH" 0.481919782550251 0.533815271805027 -0.11671475739601 0.518080217449749
"FUCA2" 0.0632775507775782 0.084774783328479 0.16605817170598 0.936722449222422
"GCLC" 2.85205993118824e-06 6.8321512891928e-06 1.24499599450454 0.999997147940069
"NFYA" 1.35698194621125e-18 1.03385743081914e-17 0.773772908377621 1
"STPG1" 0.000633803228490058 0.00114860812048496 -0.301431384856544 0.99936619677151
"NIPAL3" 5.17426659928885e-10 1.83419221933912e-09 -0.582853820524266 0.999999999482573
"LAS1L" 7.05154947312987e-08 2.02230514673029e-07 0.375905234265023 0.999999929484505
"ENPP4" 1.23567303245354e-09 4.20379041139912e-09 -0.689204829267028 0.999999998764327
"SEMA3F" 0.00228764593017814 0.00383629041462291 -0.409009839431944 0.997712354069822
"CFTR" 5.89903134609725e-21 5.39985678667438e-20 -2.46207716452475 1
"ANKIB1" 4.98520139331477e-12 2.17549548898198e-11 0.579788523986744 0.999999999995015
"CYP51A1" 1.2478047995725e-16 8.15141499080794e-16 -0.954548580101859 1
"KRIT1" 3.65731525759016e-05 7.70793646800885e-05 0.30354171278563 0.999963426847424
"RAD52" 0.000140985726242782 0.000277922119111443 0.409444900184318 0.999859014273757
"BAD" 0.39037048885859 0.442839050133647 -0.096007237735724 0.60962951114141
"LAP3" 0.000297954249365186 0.000565376951530717 -0.319433579255123 0.999702045750635
"HS3ST1" 5.25542679760863e-07 1.36761501804824e-06 1.18369836849516 0.99999947445732
"AOC1" 2.3954371402301e-06 5.79685005773012e-06 3.09031353955552 0.99999760456286
"WNT16" 0.0108134194660549 0.0164864016039323 0.810215318383076 0.989186580533945
"HECW1" 1.84997322070659e-13 9.1600865137073e-13 1.95261078613792 0.999999999999815
"MAD1L1" 0.0405338360733939 0.0562044568455786 0.194454652124872 0.959466163926606
"LASP1" 0.000130672371455481 0.000258698254474709 0.312972997084063 0.999869327628545
"SNX11" 0.4136891759558 0.466633521154703 -0.0574733969031718 0.5863108240442
"TMEM176A" 0.00543185811944923 0.00865117405041934 0.523657735597395 0.994568141880551
"M6PR" 4.22231368951099e-05 8.84207965439143e-05 -0.341941897464134 0.999957776863105
"KLHL13" 0.000245356177878693 0.000470217418370418 -0.798350861237542 0.999754643822121
"CYP26B1" 1.63225245792709e-08 4.97573235568061e-08 -1.02326504994491 0.999999983677475
"ICA1" 8.40830538782257e-17 5.58326708934501e-16 1.08313201042078 1
"DBNDD1" 1.87285904749478e-18 1.41221802604223e-17 1.82334422284204 1
"ALS2" 0.455285712738947 0.508153148712946 0.0474700199086027 0.544714287261053
"CASP10" 0.193483538211789 0.235613136113095 -0.1327348994771 0.806516461788211
"CFLAR" 3.50019928617122e-11 1.40120909125479e-10 -0.650167062592784 0.999999999964998
"TFPI" 1.79533861122269e-06 4.40343924276321e-06 -0.996580303641623 0.999998204661389
"NDUFAF7" 8.36238080689691e-15 4.65574180305282e-14 0.569271575350738 0.999999999999992
"RBM5" 0.678349421268663 0.719619693215092 0.0358695481918633 0.321650578731337
"MTMR7" 0.529885054127807 0.580054027285693 0.157436533506314 0.470114945872193
"SLC7A2" 0.198797946733802 0.241392161625348 -0.398949853421997 0.801202053266198
"ARF5" 0.00835863846956933 0.0129668635063657 0.285167449870495 0.991641361530431
"SARM1" 0.0850706929929177 0.111625871077349 -0.191000434489106 0.914929307007082
"POLDIP2" 1.66286000148908e-13 8.26510599815635e-13 0.589943637207216 0.999999999999834
"PLXND1" 0.000190224098530231 0.000369386526028665 -0.469263652402657 0.99980977590147
"AK2" 3.7729590201696e-13 1.81816719558755e-12 0.596596692446874 0.999999999999623
"CD38" 0.0148931335370382 0.0222047837695405 -0.488026003593407 0.985106866462962
"FKBP4" 8.316707195212e-13 3.88474284250143e-12 0.919253605671064 0.999999999999168
"KDM1A" 9.89358153070829e-19 7.598741738514e-18 0.624754719039998 1
"RBM6" 0.0872175300998337 0.114173487783477 0.170038503496548 0.912782469900166
"CAMKK1" 0.158674156605016 0.197017357342749 -0.167117200754775 0.841325843394984
"RECQL" 0.420947669046713 0.473992247560349 -0.0893393957059986 0.579052330953287
"HSPB6" 4.37371868459887e-74 4.83176086739008e-72 -3.04130244927838 1
"ARHGAP33" 1.55369492227419e-07 4.28221896810671e-07 1.14082992541665 0.999999844630508
"NDUFAB1" 1.27078964710354e-06 3.17235199166275e-06 0.445372991951858 0.999998729210353
"PDK4" 1.72334256008324e-36 4.00515737054504e-35 -2.78474259020092 1
"SLC22A16" 0.0160058556470875 0.0237365249845416 -0.56564492509834 0.983994144352913
"ZMYND10" 1.4688295877564e-24 1.80294919489521e-23 -2.24268551268401 1
"ABCB5" 5.28932825625404e-08 1.53135120167154e-07 -1.36193911728849 0.999999947106717
"ARX" 0.130222565135171 0.164385986778209 0.63771520264076 0.869777434864829
"SLC25A13" 2.61069359142944e-20 2.26508213750217e-19 0.996333070665472 1
"ST7" 1.17193737860674e-16 7.6744530976647e-16 -0.672336439182548 1
"CDC27" 0.00607085636315998 0.00959780849651121 0.182031618734083 0.99392914363684
"SLC4A1" 1.96343515215122e-49 7.97688805265667e-48 -3.14411057695385 1
