"Gene"	"BaseGeneMean"	"OutlierFactor"	"GeneMean"	"BatchFacBatch1"	"BatchFacBatch2"	"DEFacGroup1"	"DEFacGroup2"
"Gene1"	"Gene1"	5.3525806079417	1	5.3525806079417	1.55867756976602	1.38141143349696	1	1
"Gene5"	"Gene5"	0.00787856765813125	69.8041453051367	74.2539889382808	1.33013128498835	0.691367360860422	1	1
"Gene6"	"Gene6"	2.61937837328717	1	2.61937837328717	1.36403972100146	0.631935372649947	1	1.48240509363576
"Gene7"	"Gene7"	1.33711487150279	1	1.33711487150279	1.56501651867745	1.1135569393012	1	1
"Gene11"	"Gene11"	3.04941844221446	1	3.04941844221446	1.38124808093583	0.79521422027477	1	1.32080144423795
"Gene14"	"Gene14"	16.9464039261735	39.3659414832961	41.8754240262946	1.75188512241908	0.861658117820893	1	1
"Gene20"	"Gene20"	3.17750353523498	1	3.17750353523498	0.483039372691227	1.77035976965053	1	1
"Gene26"	"Gene26"	6.48885595567595	1	6.48885595567595	0.416817264517119	1.04185396766825	1	1
"Gene29"	"Gene29"	2.08660056954176	1	2.08660056954176	1.37382296072787	0.556124849203922	1	1
"Gene31"	"Gene31"	1.668032351591	1	1.668032351591	1.55189907640657	0.994174733493141	1	1
"Gene33"	"Gene33"	4.17073540738347	1	4.17073540738347	0.904868825352646	2.767484583064	1	1
"Gene35"	"Gene35"	6.5886005032665	1	6.5886005032665	1.10088814306706	0.769366081812512	1	1
"Gene37"	"Gene37"	5.08235847743093	1	5.08235847743093	0.647226958795112	0.665363862446889	1	1
"Gene38"	"Gene38"	4.05516472079089	1	4.05516472079089	0.947154865918151	0.57459747860486	1	1
"Gene40"	"Gene40"	7.38870440813268	36.3859018954494	38.7054141991658	0.888568054788902	0.505492044350837	1	1
"Gene41"	"Gene41"	4.02443505061933	1	4.02443505061933	1.17419919593974	1.24184554242575	1	1
"Gene46"	"Gene46"	4.63264057667514	1	4.63264057667514	0.800762725432766	1.49710715576493	1	1
"Gene49"	"Gene49"	2.2735136502539	1	2.2735136502539	0.822731609667867	1.16582191165522	1	1
"Gene53"	"Gene53"	2.49373659720035	1	2.49373659720035	1.35648764613565	0.979113497563969	1	1
"Gene57"	"Gene57"	4.08156010522983	1	4.08156010522983	0.942637859819005	1.24713831171638	1	1
