"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell1"	"Cell1"	"Batch1"	"Group1"	89857.5456924712
"Cell2"	"Cell2"	"Batch1"	"Group2"	49226.0681610498
"Cell3"	"Cell3"	"Batch1"	"Group1"	51340.2106383012
"Cell4"	"Cell4"	"Batch1"	"Group2"	43400.6190635197
"Cell5"	"Cell5"	"Batch1"	"Group1"	57015.6928521616
"Cell6"	"Cell6"	"Batch1"	"Group1"	42866.8366296539
"Cell7"	"Cell7"	"Batch1"	"Group1"	71661.0452121622
"Cell8"	"Cell8"	"Batch1"	"Group1"	72026.4988904428
"Cell9"	"Cell9"	"Batch1"	"Group2"	48836.9361959077
"Cell10"	"Cell10"	"Batch1"	"Group1"	55204.5796031114
"Cell11"	"Cell11"	"Batch1"	"Group1"	66246.8797012714
"Cell12"	"Cell12"	"Batch1"	"Group1"	55763.3360433463
"Cell13"	"Cell13"	"Batch1"	"Group2"	101735.197634236
"Cell14"	"Cell14"	"Batch1"	"Group2"	69468.450734096
"Cell15"	"Cell15"	"Batch1"	"Group2"	46440.790707944
"Cell16"	"Cell16"	"Batch1"	"Group2"	51099.4403922925
"Cell17"	"Cell17"	"Batch1"	"Group1"	52617.6871649125
"Cell18"	"Cell18"	"Batch1"	"Group1"	52699.5063227393
"Cell19"	"Cell19"	"Batch1"	"Group1"	58610.3165662708
"Cell20"	"Cell20"	"Batch1"	"Group1"	57569.9124341706
"Cell21"	"Cell21"	"Batch1"	"Group2"	69493.8002059
"Cell22"	"Cell22"	"Batch1"	"Group1"	70676.5973797708
"Cell23"	"Cell23"	"Batch1"	"Group2"	70075.9426281513
"Cell24"	"Cell24"	"Batch1"	"Group2"	53015.0200282283
"Cell25"	"Cell25"	"Batch1"	"Group2"	58485.3169655862
"Cell26"	"Cell26"	"Batch1"	"Group1"	75549.3478335894
"Cell27"	"Cell27"	"Batch1"	"Group1"	48539.3948157033
"Cell28"	"Cell28"	"Batch1"	"Group1"	61360.9932297922
"Cell29"	"Cell29"	"Batch1"	"Group2"	85740.2091454672
"Cell30"	"Cell30"	"Batch1"	"Group1"	64478.4825589129
"Cell31"	"Cell31"	"Batch1"	"Group1"	64346.0934613858
"Cell32"	"Cell32"	"Batch1"	"Group1"	52187.1695191772
"Cell33"	"Cell33"	"Batch1"	"Group2"	96741.1817444125
"Cell34"	"Cell34"	"Batch1"	"Group1"	60355.6075733136
"Cell35"	"Cell35"	"Batch1"	"Group1"	49686.3548880533
"Cell36"	"Cell36"	"Batch1"	"Group1"	51019.7104776274
"Cell37"	"Cell37"	"Batch1"	"Group2"	42247.3778423021
"Cell38"	"Cell38"	"Batch1"	"Group2"	54859.5027508806
"Cell39"	"Cell39"	"Batch1"	"Group2"	44355.1174263839
"Cell40"	"Cell40"	"Batch1"	"Group2"	44339.6495668818
"Cell41"	"Cell41"	"Batch1"	"Group2"	51647.2713239015
"Cell42"	"Cell42"	"Batch1"	"Group1"	48550.1248668618
"Cell43"	"Cell43"	"Batch1"	"Group1"	61251.2722304507
"Cell44"	"Cell44"	"Batch1"	"Group1"	60250.4445273447
"Cell45"	"Cell45"	"Batch1"	"Group1"	63188.499838129
"Cell46"	"Cell46"	"Batch1"	"Group1"	68910.3120525717
"Cell47"	"Cell47"	"Batch1"	"Group2"	89698.9846578719
"Cell48"	"Cell48"	"Batch1"	"Group2"	67442.8217642952
"Cell49"	"Cell49"	"Batch1"	"Group1"	59028.2358814542
"Cell50"	"Cell50"	"Batch1"	"Group1"	66191.2145671139
"Cell51"	"Cell51"	"Batch1"	"Group2"	71843.4275725075
"Cell52"	"Cell52"	"Batch1"	"Group1"	69186.9901622737
"Cell53"	"Cell53"	"Batch1"	"Group1"	53850.1203082432
"Cell54"	"Cell54"	"Batch1"	"Group1"	49964.9353631818
"Cell55"	"Cell55"	"Batch1"	"Group1"	59209.4023454093
"Cell56"	"Cell56"	"Batch1"	"Group2"	41609.6918085319
"Cell57"	"Cell57"	"Batch1"	"Group1"	52489.6071720281
"Cell58"	"Cell58"	"Batch1"	"Group1"	59596.3947378271
"Cell59"	"Cell59"	"Batch1"	"Group1"	77277.1221823081
"Cell60"	"Cell60"	"Batch1"	"Group1"	85410.2174702312
"Cell61"	"Cell61"	"Batch1"	"Group1"	45487.8040069308
"Cell62"	"Cell62"	"Batch1"	"Group1"	54381.6787763824
"Cell63"	"Cell63"	"Batch1"	"Group1"	58687.3872324377
"Cell64"	"Cell64"	"Batch1"	"Group1"	64917.0136999758
"Cell65"	"Cell65"	"Batch1"	"Group1"	44608.7810414457
"Cell66"	"Cell66"	"Batch1"	"Group1"	68976.4296916407
"Cell67"	"Cell67"	"Batch1"	"Group1"	57385.3343793396
"Cell68"	"Cell68"	"Batch1"	"Group1"	62439.6955549573
"Cell69"	"Cell69"	"Batch1"	"Group1"	43874.965136361
"Cell70"	"Cell70"	"Batch1"	"Group1"	38230.9651505801
"Cell71"	"Cell71"	"Batch1"	"Group1"	49070.089332334
"Cell72"	"Cell72"	"Batch1"	"Group2"	65809.3538986288
"Cell73"	"Cell73"	"Batch1"	"Group1"	56432.6601279806
"Cell74"	"Cell74"	"Batch1"	"Group2"	45619.5570304102
"Cell75"	"Cell75"	"Batch1"	"Group1"	71571.4629980336
"Cell76"	"Cell76"	"Batch1"	"Group1"	44005.6770493917
"Cell77"	"Cell77"	"Batch1"	"Group1"	58604.8913076486
"Cell78"	"Cell78"	"Batch1"	"Group1"	59758.0890118558
"Cell79"	"Cell79"	"Batch1"	"Group1"	49215.4210013086
"Cell80"	"Cell80"	"Batch1"	"Group2"	49317.5224278093
"Cell81"	"Cell81"	"Batch1"	"Group1"	70733.5932311655
"Cell82"	"Cell82"	"Batch1"	"Group1"	76518.07009466
"Cell83"	"Cell83"	"Batch1"	"Group1"	72599.6015319998
"Cell84"	"Cell84"	"Batch1"	"Group2"	66514.1916630401
"Cell85"	"Cell85"	"Batch1"	"Group1"	55378.5957620311
"Cell86"	"Cell86"	"Batch1"	"Group1"	79628.5031511445
"Cell87"	"Cell87"	"Batch1"	"Group2"	72782.873316218
"Cell88"	"Cell88"	"Batch1"	"Group1"	58536.2601539496
"Cell89"	"Cell89"	"Batch1"	"Group2"	61768.5100812451
"Cell90"	"Cell90"	"Batch1"	"Group1"	67615.2505531366
"Cell91"	"Cell91"	"Batch1"	"Group1"	56561.837875168
"Cell92"	"Cell92"	"Batch1"	"Group2"	61456.3119139095
"Cell93"	"Cell93"	"Batch1"	"Group2"	53760.6577827684
"Cell94"	"Cell94"	"Batch1"	"Group1"	57357.5238753125
"Cell95"	"Cell95"	"Batch1"	"Group1"	82322.7716137674
"Cell96"	"Cell96"	"Batch1"	"Group1"	63637.5450844318
"Cell97"	"Cell97"	"Batch1"	"Group2"	53486.8312728574
"Cell98"	"Cell98"	"Batch1"	"Group1"	60158.0603192633
"Cell99"	"Cell99"	"Batch1"	"Group1"	56222.1239146863
"Cell100"	"Cell100"	"Batch1"	"Group2"	53159.8270878154
"Cell101"	"Cell101"	"Batch1"	"Group1"	67564.7331835563
"Cell102"	"Cell102"	"Batch1"	"Group1"	68152.6681974684
"Cell103"	"Cell103"	"Batch1"	"Group2"	67911.7899490609
"Cell104"	"Cell104"	"Batch1"	"Group2"	64511.8059623063
"Cell105"	"Cell105"	"Batch1"	"Group2"	61474.7565114823
"Cell106"	"Cell106"	"Batch1"	"Group2"	71734.3035613982
"Cell107"	"Cell107"	"Batch1"	"Group1"	56872.8164001832
"Cell108"	"Cell108"	"Batch1"	"Group1"	54925.0604267447
"Cell109"	"Cell109"	"Batch1"	"Group1"	64524.8483001091
"Cell110"	"Cell110"	"Batch1"	"Group1"	44812.7891985944
"Cell111"	"Cell111"	"Batch1"	"Group2"	54216.3564634141
"Cell112"	"Cell112"	"Batch1"	"Group1"	81461.249537019
"Cell113"	"Cell113"	"Batch1"	"Group1"	84781.8447260251
"Cell114"	"Cell114"	"Batch1"	"Group1"	63014.4949430347
"Cell115"	"Cell115"	"Batch1"	"Group1"	40108.6533995671
"Cell116"	"Cell116"	"Batch1"	"Group2"	51834.0380200766
"Cell117"	"Cell117"	"Batch1"	"Group2"	58758.0184075684
"Cell118"	"Cell118"	"Batch1"	"Group2"	48626.7305096439
"Cell119"	"Cell119"	"Batch1"	"Group2"	54903.120185891
"Cell120"	"Cell120"	"Batch1"	"Group1"	74800.7421833993
"Cell121"	"Cell121"	"Batch1"	"Group1"	56306.9316955774
"Cell122"	"Cell122"	"Batch1"	"Group1"	55114.8929908326
"Cell123"	"Cell123"	"Batch1"	"Group1"	62563.9732991877
"Cell124"	"Cell124"	"Batch1"	"Group1"	48071.8715654696
"Cell125"	"Cell125"	"Batch1"	"Group1"	61565.0967851895
"Cell126"	"Cell126"	"Batch1"	"Group1"	44673.4712733041
"Cell127"	"Cell127"	"Batch1"	"Group1"	67030.1427309483
"Cell128"	"Cell128"	"Batch1"	"Group1"	75187.3917908603
"Cell129"	"Cell129"	"Batch1"	"Group1"	53154.7086489325
"Cell130"	"Cell130"	"Batch1"	"Group1"	62319.7868732204
"Cell131"	"Cell131"	"Batch1"	"Group1"	53314.7062713256
"Cell132"	"Cell132"	"Batch1"	"Group2"	70962.1990374373
"Cell133"	"Cell133"	"Batch1"	"Group1"	50016.3099851792
"Cell134"	"Cell134"	"Batch1"	"Group1"	98263.8860953425
"Cell135"	"Cell135"	"Batch1"	"Group2"	62962.4223935202
"Cell136"	"Cell136"	"Batch1"	"Group1"	63452.5209803212
"Cell137"	"Cell137"	"Batch1"	"Group2"	67257.3608169736
"Cell138"	"Cell138"	"Batch1"	"Group1"	58208.888841495
"Cell139"	"Cell139"	"Batch1"	"Group1"	65677.7486092119
"Cell140"	"Cell140"	"Batch1"	"Group1"	51213.3891470564
"Cell141"	"Cell141"	"Batch1"	"Group2"	50547.1769143824
"Cell142"	"Cell142"	"Batch1"	"Group1"	56875.2047502561
"Cell143"	"Cell143"	"Batch1"	"Group1"	60126.7027029328
"Cell144"	"Cell144"	"Batch1"	"Group2"	52028.8295067759
"Cell145"	"Cell145"	"Batch1"	"Group1"	50308.6949470581
"Cell146"	"Cell146"	"Batch1"	"Group1"	61440.1388821158
"Cell147"	"Cell147"	"Batch1"	"Group1"	55694.8564270685
"Cell148"	"Cell148"	"Batch1"	"Group2"	56934.9813562032
"Cell149"	"Cell149"	"Batch1"	"Group1"	68229.7338004006
"Cell150"	"Cell150"	"Batch1"	"Group1"	68496.2224832479
"Cell151"	"Cell151"	"Batch1"	"Group1"	42727.9381047203
"Cell152"	"Cell152"	"Batch1"	"Group1"	71403.9277627241
"Cell153"	"Cell153"	"Batch1"	"Group1"	50380.8329821012
"Cell154"	"Cell154"	"Batch1"	"Group2"	62843.3469383538
"Cell155"	"Cell155"	"Batch1"	"Group1"	98539.264043798
"Cell156"	"Cell156"	"Batch1"	"Group1"	96385.9710384881
"Cell157"	"Cell157"	"Batch1"	"Group1"	68625.6104094743
"Cell158"	"Cell158"	"Batch1"	"Group1"	60336.0008834641
"Cell159"	"Cell159"	"Batch1"	"Group2"	78211.7572096137
"Cell160"	"Cell160"	"Batch1"	"Group1"	43475.7395360776
"Cell161"	"Cell161"	"Batch1"	"Group1"	61116.952583351
"Cell162"	"Cell162"	"Batch1"	"Group1"	45060.640779807
"Cell163"	"Cell163"	"Batch1"	"Group2"	38386.0594921771
"Cell164"	"Cell164"	"Batch1"	"Group2"	65905.7843718241
"Cell165"	"Cell165"	"Batch1"	"Group2"	58906.6929146883
"Cell166"	"Cell166"	"Batch1"	"Group1"	65901.744927249
"Cell167"	"Cell167"	"Batch1"	"Group1"	69283.1490746034
"Cell168"	"Cell168"	"Batch1"	"Group2"	67294.6616286269
"Cell169"	"Cell169"	"Batch1"	"Group1"	60523.1630776479
"Cell170"	"Cell170"	"Batch1"	"Group1"	56007.211652804
