Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	EGFR	1956	P00533	epidermal growth factor receptor	Kinase	1394	0.295	0.885	0.36837	0.7		0.978	1148	33	1990.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	ALK	238	Q9UM73	ALK receptor tyrosine kinase	Kinase	519	0.396	0.846	3.2299e-06	0.7		0.977	258	7	2008.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	KRAS	3845	P01116	KRAS proto-oncogene, GTPase	Enzyme modulator	1213	0.32	0.923	0.00078803	0.7		0.967	302	3	1990.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	ROS1	6098	P08922	ROS proto-oncogene 1, receptor tyrosine kinase	Kinase	356	0.439	0.885	1.6184e-72	0.7		1.0	65	2	2012.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	BRAF	673	P15056	B-Raf proto-oncogene, serine/threonine kinase	Kinase	1228	0.319	0.846	0.99995	0.7		1.0	50	16	2002.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	STK11	6794	Q15831	serine/threonine kinase 11	Kinase	372	0.435	0.808	0.9934	0.7		1.0	50	3	2002.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FGFR3	2261	P22607	fibroblast growth factor receptor 3	Kinase	654	0.391	0.846	1.6432e-05	0.65		1.0	6	1	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MAP2K1	5604	Q02750	mitogen-activated protein kinase kinase 1	Kinase	389	0.439	0.846	0.89669	0.65		0.857	7	6	2008.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CTNNB1	1499	P35222	catenin beta 1		1368	0.303	0.885	0.99999	0.5		1.0	22	10	2001.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ERBB2	2064	P04626	erb-b2 receptor tyrosine kinase 2	Kinase	995	0.328	0.923	0.0059892	0.5		0.987	78	10	1989.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	HRAS	3265	P01112	HRas proto-oncogene, GTPase	Enzyme modulator	698	0.378	0.885	0.079774	0.5		0.923	13	9	1990.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MYC	4609	P01106	MYC proto-oncogene, bHLH transcription factor	Transcription factor	821	0.344	0.923	0.99801	0.5		1.0	15	3	2008.0	2018.0
